experiment,task,model,n_features,depth,ood,n_train,n_test,seed,status,metric_primary_name,metric_primary,metric_secondary_name,metric_secondary,fit_seconds,predict_seconds,error
2_ood,classification,xgboost,100,5,True,100,500,0,ok,accuracy,0.69,roc_auc,0.5431931252826775,0.16333025007043034,0.0012981670442968607,
2_ood,classification,xgboost,200,5,False,100,500,0,ok,accuracy,0.632,roc_auc,0.6895618640222956,0.20802191691473126,0.0013332910602912307,
2_ood,classification,xgboost,200,5,True,100,500,0,ok,accuracy,0.634,roc_auc,0.5627022292139652,0.1763367080129683,0.0006727919680997729,
2_ood,classification,xgboost,500,5,False,100,500,0,ok,accuracy,0.628,roc_auc,0.6688650408665027,0.12023579201195389,0.0005420829402282834,
2_ood,classification,xgboost,500,5,True,100,500,0,ok,accuracy,0.578,roc_auc,0.6528522091223057,0.11759433394763619,0.0005432500038295984,
2_ood,classification,xgboost,1000,5,False,100,500,0,ok,accuracy,0.622,roc_auc,0.6616066996525276,0.18615320895332843,0.0006253330502659082,
2_ood,classification,xgboost,1000,5,True,100,500,0,ok,accuracy,0.66,roc_auc,0.600035650623886,0.18338929198216647,0.0006443749880418181,
2_ood,classification,xgboost,2000,5,False,100,500,0,ok,accuracy,0.55,roc_auc,0.5668517589159962,0.30741733394097537,0.0008627920178696513,
2_ood,classification,xgboost,2000,5,True,100,500,0,ok,accuracy,0.574,roc_auc,0.5462174610928885,0.3632822500076145,0.001280584023334086,
2_ood,regression,xgboost,50,5,False,100,500,0,ok,r2,0.004021009542420018,rmse,3.7332719002544565,0.13863045908510685,0.0009335409849882126,
2_ood,regression,xgboost,50,5,True,100,500,0,ok,r2,0.0362608566982634,rmse,5.552172538640776,0.24444737506564707,0.0008084169821813703,
2_ood,regression,xgboost,100,5,False,100,500,0,ok,r2,-0.06279841767549432,rmse,4.011059323452127,0.28166379197500646,0.0007776669226586819,
2_ood,regression,xgboost,100,5,True,100,500,0,ok,r2,-0.3240403208992122,rmse,7.594823841379922,0.27488487504888326,0.0011041670804843307,
2_ood,regression,xgboost,200,5,False,100,500,0,ok,r2,-0.13854582658924497,rmse,4.403530680082596,0.3684739170130342,0.0013289160560816526,
